Year,Month,PeriodName,SKU,SKUDesc,SITEID,SITE_NAME,PriCustomerID,PRICUSTOMERNAME,ADDRESS1,ADDRESS2,POSTCODE,TELNO,STLID,STLNAME,CHANNELDESC,RSACLUSTERDESC,REDOUTLETCLSDESC,QTY_PC,Qty,latitude,longitude
2013,Rumi1,MN1310,0564,Thums Up PET 400ml - 24 Bottle.,M5,SURAKHSHA DEPOT,G002207741,PRATIK CAFE - KALIDAS EVENTS,"4/D, VASANT NIWAS,","M G ROAD,",NULL,+919223399440,SE001778,GANESH PABLE,CONVENIENCE,Greater mumbai,Bronze - Volume < 200 Cases PA,70.333339,400ml,,
2013,Rumi2,MN1310,1267,Kinley Water PET 750ml,M5,SURAKHSHA DEPOT,G002207741,PRATIK CAFE - KALIDAS EVENTS,"4/D, VASANT NIWAS,","M G ROAD,",NULL,+919223399440,SE001778,GANESH PABLE,CONVENIENCE,Greater mumbai,Bronze - Volume < 200 Cases PA,469.791704,750ml,,
